緯度,経度,施設名,ふりがな,住所,,区,電話番号　,施設情報,施設種別,0歳児,1歳児,2歳児,3歳児,4歳児,5歳児,月,指定園,新制度未移行園,ソート,月
34.695314,135.510223,ぬくもりのおうち保育　南森町園,ぬくもりのおうちほいく　みなみもりまちえん,北区天神西町７－１６　藤井ビル１階１２号,1,北区,06-6311-4188,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319681/c02nukumorinoouchiminamimorimachi.pdf,地域型,0,0,0,,,,3,,,14302,5
34.708208,135.50098,梅田ひまわり保育園,うめだひまわりほいくえん,北区鶴野町３－１７　ファーストＮレジデンス２０３号,1,北区,06-6110-5922,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319681/c03umedahimawari.pdf,地域型,0,0,1,,,,3,,,14303,5
34.713989,135.510242,フェアリールーム天六園,ふぇありーるーむてんろくえん,北区本庄東２－２－３０－２Ｂ号ウィッシュ大阪ビル,1,北区,06-6377-6780,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319681/c04fairyroomtenroku.pdf,地域型,0,0,0,,,,3,,,14304,5
34.712216,135.491662,クオリスキッズ中津三丁目保育園,くおりすきっずなかつさんちょうめほいくえん,北区中津３－２５－２　北梅田パークレジデンス１階,1,北区,06-6292-5757,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319681/c05kuorisukidznakatu3.pdf,地域型,0,0,2,,,,3,,,14305,5
34.711087,135.500793,こぐまの森保育園　梅田園,こぐまのもりほいくえん　うめだえん,北区豊崎２－８－１３　ジョリーフローラ１Ｆ,1,北区,06-6376-1671,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319681/c06kogumanomorihoikuenumeda.pdf,地域型,0,0,1,,,,3,,,14306,5
34.707473,135.509129,商店街の保育ママ　興学院,しょうてんがいのほいくまま　こうがくいん,北区黒崎町６－１３,1,北区,06-6371-6056,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319681/c07kougakuin.pdf,地域型,0,0,0,,,,3,,,14307,5
34.692611,135.5168,かいせいプチ保育園　天満橋園,かいせいぷちほいくえんてんまばしえん,北区天満2-1-11　アルス天満橋1F,1,北区,06-6232-8817,http://www.city.osaka.lg.jp/kodomo/cmsfiles/modify_contents/0000319/319681/c08kaiseiputitenmabashi.pdf,地域型,0,0,0,,,,3,,,14308,5
34.695458,135.50749,（仮称）中之島ちどりキッズ（平成28年4月1日開設）,なかのしまちどりほいくえんきっず,北区西天満3-8-11　レジデンス富貴屋101号,1,北区,06-6362-3755,,地域型,0,0,0,,,,3,,,14309,5
34.706737,135.523642,都島桜宮保育園,みやこじまさくらのみやほいくえん,都島区中野町5-10-80,2,都島区,06-6922-2670,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/07sakuranomiyahoikuen.pdf,保育所,0,0,0,0,0,0,3,,,23304,5
34.707134,135.53134,都島東保育園,みやこじまひがしほいくえん,都島区都島本通4-10-27,2,都島区,06-6922-7332,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/09miyakojimahigashi.pdf,保育所,0,0,0,0,0,0,3,,,23305,5
34.722135,135.52773,大阪市立毛馬保育所,おおさかしりつけまほいくしょ,都島区毛馬町2-5-13,2,都島区,06-6924-1565,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/01kema.pdf,保育所,0,0,0,0,0,0,3,,,23102,5
34.716421,135.534747,大阪市立御幸保育所,おおさかしりつみゆきほくしょ,都島区御幸町2-7-13,2,都島区,06-6922-2000,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/02miyuki.pdf,保育所,0,0,0,0,0,0,3,,,23101,5
34.725592,135.526636,大東保育園,だいとうほいくえん,都島区大東町2-19-7,2,都島区,06-6925-6777,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/03daitohoikuen.pdf,保育所,0,0,0,0,0,0,3,,,23301,5
34.707963,135.528524,都島第二乳児保育センター,みやこじまだいににゅうじほいくせんたー,都島区都島本通3-16-10,2,都島区,06-6921-7221,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/04dai2nyujihoikusenta-.pdf,保育所,,0,0,,,,3,,,23302,5
34.707972,135.528218,都島乳児保育センター,みやこじまにゅうじほいくせんたー,都島区都島本通3-16-8,2,都島区,06-6922-4120,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/05nyujihoikusenta-.pdf,保育所,0,0,,,,,3,,,23303,5
34.715336,135.526357,都島友渕乳児保育センター,みやこじまともぶちにゅうじほいくせんたー,都島区友渕町1-6-3,2,都島区,06-6929-1580,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/10tomobuchinyujihoiku.pdf,保育所,0,0,0,,,,3,,,23306,5
34.717294,135.530992,子ロバ保育園,ころばほいくえん,都島区高倉町2-8-5,2,都島区,06-6928-2828,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/12kodrobahoikuen.pdf,保育所,0,0,0,0,0,0,3,,,23307,5
34.722153,135.525295,毛馬コティ保育園,けまこてぃほいくえん,都島区毛馬町2-8-7,2,都島区,06-6924-9811,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/13kemakotihoikuen.pdf,保育所,0,0,0,0,0,0,3,,,23308,5
34.704054,135.5263,なのはな保育園,なのはなほいくえん,都島区都島南通1-9-13,2,都島区,06-6921-6818,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/14nanohana.pdf,保育所,0,0,0,0,0,0,3,,,23309,5
34.711777,135.522237,ぜんげんじさくらさくほいくえん,ぜんげんじさくらさくほいくえん,都島区善源寺町1-13-22,2,都島区,06-6180-6039,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/15zenngennzisakurasakuhoikuen.pdf,保育所,0,0,0,0,0,0,3,,,23310,5
34.709718,135.536608,アスクうちんだい保育園,あすくうちんだいほいくえん,都島区内代町1-6-7,2,都島区,06-6958-1573,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/16asukuchindaihoikuen.pdf,保育所,0,0,0,0,0,0,3,,,23311,5
34.714591,135.529119,トレジャーキッズともぶち保育園,とれじゃーきっずともぶちほいくえん,都島区友渕町2-10-17,2,都島区,06-6180-7020,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/17torezyakidstomobuchihoikuen.pdf,保育所,0,0,0,0,0,0,3,,,23312,5
34.709526,135.534484,内代まつのはな保育園,うちんだいまつのはなほいくえん,都島区都島北通2-9-16,2,都島区,06-6921-5515,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/18uchindaimatunohana.pdf,保育所,0,0,0,0,0,0,3,,,23313,5
34.706587,135.529039,認定こども園　都島児童センター,にんていこどもえんみやこじまじどうせんたー,都島区都島本通3-4-3,2,都島区,06-6921-5323,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319193/n01miyakozimazidoucenter.pdf,認定こども園,0,0,0,0,0,0,3,,,22303,5
34.718811,135.525466,認定こども園　友渕児童センター,にんていこどもえんともぶちじどうせんたー,都島区友渕町1-3-141,2,都島区,06-6924-4788,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319193/no2tomobuchizidoucenter.pdf,認定こども園,0,0,0,0,0,0,3,,,22302,5
34.700475,135.528545,認定こども園　東野田ちどり保育園,にんていこどもえんひがしのだちどりほいくえん,都島区東野田町4-15-20,2,都島区,06-6358-1415,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319193/n03higashinodachidori.pdf,認定こども園,0,0,0,0,0,0,3,,,22301,5
34.709828,135.527253,きらきらＢａｂｙ　都島園,きらきらべびー　みやこじまえん,都島区都島北通１－１１－８　アーバン都島１階,2,都島区,070-5654-0602,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319682/c01kirakirababymiyakozima.pdf,地域型,0,0,0,,,,3,,,24301,5
34.709886,135.52751,きらきらＢａｂｙ　都島北通園,きらきらべびー　みやこじまきたどおりえん,都島区都島北通１－１２－１４　第一加島マンション１階,2,都島区,070-5654-0602,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319682/c02kirakirababymiyakozimakita.pdf,地域型,0,0,0,,,,3,,,24302,5
34.711905,135.530326,エンジェルキッズ都島園,えんじぇるきっずみやこじまえん,都島区都島北通１－２３－１３　マルニコーポ都島第４　１０２号,2,都島区,06-6180-4080,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319682/c03engelkidsmiyakozima.pdf,地域型,0,0,0,,,,3,,,24303,5
34.697096,135.529506,桜の宮ベビーセンター,さくらのみやべびーせんたー,都島区東野田町１－１５－１８,2,都島区,06-6352-4907,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319682/c04sakuranomiyababycenter.pdf,地域型,0,0,0,,,,3,,,24304,5
34.711253,135.531209,社会福祉法人 大阪婦人ホーム 子ロバ乳児園,おおさかふじんほーむころばにゅうじえん,都島区都島北通２－２１－３３,2,都島区,06-6180-7258,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319682/c05korobanyuzi.pdf,地域型,0,0,0,,,,3,,,24305,5
34.707573,135.519718,あい・あい保育園　桜ノ宮園,あい・あいほいくえん　さくらのみやえん,都島区中野町５－１３－４　桜ノ宮リバーシティタワー１Ｆ,2,都島区,06-6922-0200,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319682/c06aiaihoikuensakuranomiya.pdf,地域型,0,0,0,,,,3,,,24306,5
34.700287,135.533642,(仮称)東野田ちどりキッズ(平成28年4月1日開設),ひがしのだちどりきっず,都島区東野田町5-8-16 マリス京橋WING 102号,2,都島区,06－6358－1415（準備室）,,地域型,0,0,0,,,,3,,,24307,5
34.697345,135.527295,(仮称)くじら保育園　都島東野田園(平成28年4月1日開設),くじらほいくえんほいくえん,都島区東野田町1-20-4 SWISS京橋1階,2,都島区,078－392-1256(準備室),,地域型,0,0,0,,,,3,,,24308,5
34.69808,135.471243,大阪市立海老江保育所,おおさかしりつえびえほいくしょ,福島区海老江6-1-9,3,福島区,06-6451-5734,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/01ebie.pdf,保育所,調整中,調整中,調整中,調整中,調整中,調整中,3,,,33101,5
34.687084,135.466919,大阪市立新家保育所,おおおさかしりつしんけほいくしょ,福島区吉野5-6-12,3,福島区,06-6462-0064,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/02sinke.pdf,保育所,0,0,0,0,0,0,3,,,33202,5
34.685866,135.477605,大阪市立野田保育所,おおさかしりつのだほいくしょ,福島区野田2-12-1,3,福島区,06-6462-0080,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/03noda.pdf,保育所,調整中,調整中,調整中,調整中,調整中,調整中,3,,,33102,5
34.691177,135.472509,大阪市立吉野保育所,おおさかしりつよしのほいくしょ,福島区吉野3-17-11,3,福島区,06-6461-1350,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/04yosino.pdf,保育所,調整中,調整中,調整中,,,,3,,,33201,5
34.698688,135.482556,保育所和光園,ほいくしょわこうえん,福島区鷺洲2-14-1,3,福島区,06-6451-7193,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/05wakouen.pdf,保育所,調整中,調整中,調整中,調整中,調整中,調整中,3,,,33301,5
34.689563,135.481017,ひばり保育園,ひばりほいくえん,福島区玉川1-6-2,3,福島区,06-6444-1225,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/06hibari.pdf,保育所,調整中,調整中,調整中,調整中,調整中,調整中,3,,,33303,5
34.684481,135.470052,ふじのもり保育園,ふじのもりほいくえん,福島区野田6-5-41 N101　リバーガーデン福島,3,福島区,06-6460-6060,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/07fujinomori.pdf,保育所,調整中,調整中,調整中,調整中,調整中,調整中,3,,,33305,5
34.694635,135.489632,中之島ひばり保育園,なかのしまひばりほいくえん,福島区福島1-1-51-401 堂島クロスウォーク,3,福島区,06-6453-6048,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/08nakanoshimahibari.pdf,保育所,調整中,調整中,調整中,調整中,調整中,調整中,3,,,33306,5
34.695685,135.468204,海西ひばり保育園,かいせいひばりほいくえん,福島区海老江8-13-21,3,福島区,06-6455-6005,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/09kaiseihibari.pdf,保育所,調整中,調整中,調整中,調整中,調整中,調整中,3,,,33307,5
34.697493,135.480083,保育所第二和光園,ほいくしょだいにわこうえん,福島区鷺洲3-1-59,3,福島区,06-6456-0550,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/10dai2wakouen.pdf,保育所,調整中,調整中,調整中,調整中,調整中,調整中,3,,,33309,5
34.697714,135.472696,あい保育園海老江,あいほいくえんえびえ,福島区海老江2-11-12　共和ビル2階・3階,3,福島区,06-6136-8846,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/aihoikuenebie.pdf,保育所,調整中,調整中,調整中,調整中,調整中,調整中,3,,,33310,5
34.689206,135.478908,あい保育園玉川,あいほいくえんたまがわ,福島区玉川4-4-17,3,福島区,06-6225-8152,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/12aihoikuentamagawa.pdf,保育所,調整中,調整中,調整中,調整中,調整中,調整中,3,,,33311,5
34.691058,135.475411,どんぐりこ福島吉野保育園,どんぐりこふくしまよしのほいくえん,福島区吉野2-9-4,3,福島区,06－6441－8872,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/13dongurikohukushimayosino.pdf,保育所,調整中,調整中,調整中,調整中,調整中,調整中,3,,,33312,5
34.697515,135.478989,分園　鷺洲マーヤ保育園,ぶんえん　さぎすまーやほいくえん,福島区鷺洲3-4-2　,3,福島区,06-6454-2239,,保育所,調整中,調整中,調整中,調整中,,,3,,,33313,5
34.698331,135.478361,保育所和光園　分園,ほいくしょわこうえん　ぶんえん,福島区鷲州5-2-3,3,福島区,06-6451-7193,,保育所,－,－,－,－,－,－,3,,,33302,5
34.698977,135.473828,海西ひばり保育園　ベビーセンター(分園）,かいせいひばりほいくえんべびーせんたーぶんえん,福島区海老江3-3-18,3,福島区,06-6458-5358,,保育所,－,－,－,－,－,－,3,,,33308,5
34.690218,135.478114,ひばり保育園　玉川キッズステーション(分園）,ひばりほいくえん　たまがわきっずすてーしょんぶんえん,福島区玉川4-6-17,3,福島区,06-6447-7878,,保育所,－,－,－,－,－,－,3,,,33304,5
34.694364,135.481271,英風保育園（平成28年4月1日開設）,えいふうほいくえん,福島区福島８－３,3,福島区,06-4798-0270,,保育所,調整中,調整中,調整中,調整中,調整中,調整中,3,,,33314,5
34.687024,135.467179,(仮)新家保育所（平成28年4月1日民間移管）,か　しんけほいくしょ,福島区吉野5-6-12,3,福島区,06-6462-0064,,保育所,調整中,調整中,調整中,調整中,調整中,調整中,3,,,33315,5
34.692933,135.471135,小規模保育園育　大開園,しょうきぼほいくえん　はぐくみ　おおびらきえん,福島区大開1-10-5,3,福島区,06-6468-8020,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319683/c01ikuiibiraki.pdf,地域型,調整中,調整中,調整中,,,,3,,,34301,5
34.693967,135.483667,小規模保育園育　福島本園,しょうきぼほいくえん　はぐくみ　ふくしまほんえん,福島区福島4-5-49,3,福島区,06-7503-8163,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319683/c02ikuukushimahonwn.pdf,地域型,調整中,調整中,調整中,,,,3,,,34302,5
34.696911,135.480123,ＫＩＤＳＲＯＯＭ　Baby-beeふくしま園,きっずるーむ　べいびーびーふくしまえん,福島区鷺洲3-1　鷺洲第２団地１棟102号,3,福島区,06-6458-0328,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319683/c03kidsroomhukusima.pdf,地域型,調整中,調整中,調整中,,,,3,,,34303,5
34.690714,135.478925,ほっこりひばり保育園,ほっこりひばりほいくえん,福島区玉川2-6-15　フローレス玉川1Ｆ,3,福島区,06-6441-8899,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319683/c04hokkorihibari.pdf,地域型,調整中,調整中,調整中,,,,3,,,34304,5
34.688981,135.482878,あい・あい保育園　中之島園,あい・あいほいくえん　なかのしまえん,福島区玉川1-2-3　徳仏ビル2Ｆ,3,福島区,06-6136-7376,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319683/c05aiaihoikuennakanoshima.pdf,地域型,調整中,調整中,調整中,,,,3,,,34305,5
34.690374,135.474443,げんき保育園　吉野園,げんきほいくえん　よしのえん,福島区吉野3-14-21　ツルハラハイツ1Ｆ,3,福島区,06-6147-8253,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319683/c06genkiyoshino.pdf,地域型,調整中,調整中,調整中,,,,3,,,34306,5
34.688961,135.474432,キッズステーションあすなろっこ（平成28年4月1日開設）,きっずすてーしょんあすなろっこ,福島区吉野３－６－２３,3,福島区,06-6463-7440,,地域型,調整中,調整中,調整中,,,,3,,,34307,5
34.681138,135.45752,大阪市立四貫島保育所,おおさかしりつしかんじまほいくしょ,此花区梅香3-7-16,4,此花区,06-6468-0006,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12676/01sikannjima.pdf,保育所,,0,0,0,0,0,3,,,43202,5
34.691089,135.457853,大阪市立高見町保育所,おおさかしりつたかみちょうほいくしょ,此花区高見3-1-4,4,此花区,06-6461-5610,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12676/02takamicyou.pdf,保育所,0,0,0,0,0,7,3,,,43101,5
34.682964,135.443552,大阪市立酉島保育所,おおさかしりつとりしまほいくしょ,此花区酉島1-18-19-101,4,此花区,06-6468-8105,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12676/03torishima.pdf,保育所,,0,0,1,0,9,3,,,43102,5
34.682964,135.468732,大阪市立西九条保育所,おおさかしりつにしくじょうほいくしょ,此花区西九条1-7-14,4,此花区,06-6461-5329,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12676/04nisikujyou.pdf,保育所,0,0,0,0,0,2,3,,,43201,5
34.678076,135.439764,島屋保育所,しまやほいくしょ,此花区島屋2-5-14,4,此花区,06-6461-1098,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12676/05shimaya.pdf,保育所,0,0,0,0,0,1,3,,,43301,5
34.687957,135.447596,勢至学園保育所,せいしがくえんほいくしょ,此花区伝法5-7-4,4,此花区,06-6465-7227,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12676/06seishigakuen.pdf,保育所,1,0,0,0,2,2,3,,,43302,5
34.680489,135.467423,勢至学園西九条園,せいしがくえんにしくじょうえん,此花区西九条1-36-5,4,此花区,06-6147-8563,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12676/17seishigakuennishikuzyouen.pdf,保育所,0,0,0,2,2,0,3,,,43310,5
34.680659,135.451298,天使保育園（天使ベビーセンター・天使虹の園を含む）,てんしほいくえん,此花区春日出中1-15-13,4,此花区,06-6461-3713,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12676/08tenshi.pdf,保育所,0,0,0,0,0,0,3,,,43303,5
34.684031,135.451802,天使虹の園,てんしにじのその,此花区春日出北1-18-13,4,此花区,06-6463-9784,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12676/09tenshiniji.pdf,保育所,-,-,-,-,-,-,3,,,43304,5
34.685015,135.445145,秀野保育園,ひでのほいくえん,此花区酉島1-5-1-100,4,此花区,06-6464-1045,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12676/10hideno.pdf,保育所,0,0,0,0,0,0,3,,,43305,5
34.681116,135.438842,北港学園保育所,ほっこうがくえんほいくしょ,此花区酉島3-26-11,4,此花区,06-6461-7849,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12676/11hokkohgakuen.pdf,保育所,0,0,4,2,0,2,3,,,43306,5
34.687534,135.455171,無憂園（無憂園第二・三保育所を含む）,むゆうえん,此花区伝法2-10-26,4,此花区,06-6461-2063,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12676/12muyuen.pdf,保育所,0,0,0,0,0,3,3,,,43307,5
34.685072,135.448385,れんげ保育園,れんげほいくえん,此花区伝法6-5-43,4,此花区,06-6464-2839,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12676/15renge.pdf,保育所,0,0,0,0,0,0,3,,,43308,5
34.668789,135.438568,しんが保育園,しんがほいくえん,此花区島屋6-2-90　D棟303号,4,此花区,06-6463-3221,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12676/18shingahoikuen.pdf,保育所,0,0,0,0,0,0,3,,,43309,5
34.684146,135.462056,ぬくもりのおうち保育　梅香園,ぬくもりのおうちほいく　ばいかえん,此花区梅香１－２６－１１　大森ビル１階,4,此花区,06-6462-8841,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319684/c01nukumorinoouchibaika.pdf,地域型,0,0,1,,,,3,,,44301,5
34.680458,135.454809,ぬくもりのおうち保育　春日出中園,ぬくもりのおうちほいく　かすがでなかえん,此花区春日出中１－１－１４,4,此花区,06-4804-4188,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319684/c02nukumorinoouchikasukadenaka,地域型,0,0,0,,,,3,,,44302,5
