緯度,経度,施設名,ふりがな,住所,,区,電話番号　,施設情報,施設種別,0歳児,1歳児,2歳児,3歳児,4歳児,5歳児,月,指定園,新制度未移行園,ソート
34.712651,135.472943,塚本幼稚園幼児教育学園,つかもとようちえんようじきょういくがくえん,淀川区塚本1丁目6-25,12,淀川区,06-6301-2166,http://www.tukamotoyouchien.ed.jp/index.html,幼稚園,,,,,,,,1,1,121336
34.739949,135.486187,みくにひじり幼稚園,みくにひじりようちえん,淀川区西三国3丁目17-32,12,淀川区,06-6392-2525,http://www.mikunihijiri.ed.jp/enter.php,幼稚園,,,,,,,,1,1,121339
34.714796,135.474748,ひかり幼稚園,ひかりようちえん,淀川区新北野3丁目10-4,12,淀川区,06-6301-6288,http://www.hikarik.ed.jp/index.html,幼稚園,,,,,,,,1,1,121338
34.723665,135.489707,木川幼稚園,きがわようちえん,淀川区木川西2丁目8-4,12,淀川区,06-6301-6090,http://hanshiyo.or.jp/yodogawa.html,幼稚園,,,,,,,,,1,121335
34.726842,135.474828,みつや・めぐみ幼稚園,みつやめぐみようちえん,淀川区三津屋南1丁目16-33,12,淀川区,06-6309-2581,http://m-megumi.jp/index.html,幼稚園,,,,,,,,,1,121340
34.726024,135.485493,アケミ幼稚園,あけみようちえん,淀川区野中南1丁目1-3,12,淀川区,06-6302-6878,http://akemikids.jp/index.html,幼稚園,,,,,,,,,1,121333
34.737927,135.517967,淡路幼稚園,あわじようちえん,東淀川区東淡路4丁目12-25,13,東淀川区,06-6321-0271,http://www.awaji-k.ed.jp/index.html,幼稚園,,,,,,,,1,1,131341
34.738196,135.538936,豊里幼稚園,とよさとようちえん,東淀川区豊里2丁目6-10,13,東淀川区,06-6320-2030,http://www.oohashigakuen.ac.jp/Toyosato/Index.htm,幼稚園,,,,,,,,,1,131347
34.737749,135.529109,菅原天満幼稚園,すがわらてんまようちえん,東淀川区菅原2丁目3-27,13,東淀川区,06-6328-6079,http://www.astok.ne.jp/daishiyo/sugahara/index.html,幼稚園,,,,,,,,1,1,131346
34.748824,135.533674,美鳩幼稚園,みはとようちえん,東淀川区瑞光1丁目11-10,13,東淀川区,06-6328-6169,http://www.mihato.ed.jp/index.html,幼稚園,,,,,,,,1,1,131348
34.752125,135.538266,小松幼稚園,こまつようちえん,東淀川区小松3丁目5-15,13,東淀川区,06-6320-1331,http://www.komatu-kindergarten.ed.jp/index.html,幼稚園,,,,,,,,1,1,131342
34.752497,135.547572,瑞光幼稚園,ずいこうようちえん,東淀川区瑞光4丁目6-7,13,東淀川区,06-6329-6858,http://zuiko-youchien.com/index.html,幼稚園,,,,,,,,1,1,131344
34.759891,135.545167,瑞光第二幼稚園,ずいこうだいにようちえん,東淀川区北江口2丁目15-13,13,東淀川区,06-6340-2585,http://www.astok.ne.jp/daishiyo/zuiko2/index.html,幼稚園,,,,,,,,1,1,131345
34.767856,135.549936,大阪成蹊短期大学附属こみち幼稚園,おおさかせいけいたんきだいがくふぞくこみちようちえん,東淀川区井高野4丁目8-8,13,東淀川区,06-6829-2598,http://komichi.osaka-seikei.ac.jp/abouts/recomme.html,幼稚園,,,,,,,,,1,131343
34.665604,135.546968,聖美幼稚園,せいびようちえん,東成区大今里南2丁目13-22,14,東成区,06-6981-8438,http://www.kuriokagakuen.ac.jp/seibi/index.html,幼稚園,,,,,,,,,1,141349
34.668483,135.548839,熊野幼稚園,くまのようちえん,東成区大今里4丁目16-23,14,東成区,06-6971-0381,http://www2.kumano.ed.jp/~kumano/index.html,幼稚園,,,,,,,,,1,141350
34.650784,135.537421,第一すみれ幼稚園,だいいちすみれようちえん,生野区舎利寺1丁目5-28,15,生野区,06-6712-0747,http://www.astok.ne.jp/daishiyo/1sumire/index.html,幼稚園,,,,,,,,,1,151352
34.660878,135.531034,桃谷幼稚園,ももだにようちえん,生野区桃谷2丁目12-29,15,生野区,06-6731-7260,http://www.astok.ne.jp/daishiyo/momodani/index.html,幼稚園,,,,,,,,,1,151355
34.653774,135.549735,白菊幼稚園,しらぎくようちえん,生野区巽北2丁目5-24,15,生野区,06-6752-4515,http://www.shiragiku-kids.jp/index.html,幼稚園,,,,,,,,1,1,151351
34.658879,135.545768,中川幼稚園,なかがわようちえん,生野区中川3丁目7-18,15,生野区,06-6751-6660,http://nakagawayouchien.ed.jp/index.html,幼稚園,,,,,,,,,1,151354
34.726092,135.543367,大宮幼稚園,おおみやようちえん,旭区中宮3丁目15-10,16,旭区,06-6951-6041,http://www2.ohmiya-k.ed.jp/~ohmiyak/index.html,幼稚園,,,,,,,,,1,161359
34.719931,135.552613,新森幼稚園,しんもりようちえん,旭区新森3丁目3-35,16,旭区,06-6954-5344,http://www.shinmori.com/contents/enter.html,幼稚園,,,,,,,,,1,161360
34.716888,135.545325,東高殿幼稚園,ひがしたかどのようちえん,旭区高殿6丁目6-17,16,旭区,06-6951-7321,http://www.takadono.ac.jp/top/index.html,幼稚園,,,,,,,,,1,161363
34.728425,135.530283,赤川幼稚園,あかがわようちえん,旭区赤川4丁目22-31,16,旭区,06-6921-0004,http://www2.odn.ne.jp/akagawa-kinder/kosodate/index_kosodate.html,幼稚園,,,,,,,,,1,161356
34.714772,135.542061,西高殿若葉幼稚園,にしたかどのわかばようちえん,旭区高殿4丁目6-12,16,旭区,06-6951-5205,http://www.wakabakids.ed.jp/index.html,幼稚園,,,,,,,,,1,161362
34.729961,135.551347,あけのほし幼稚園,あけのほしようちえん,旭区太子橋1丁目1-27,16,旭区,06-6951-2633,http://www.akenohoshikg.jp/index.html,幼稚園,,,,,,,,,1,161357
34.724166,135.556427,千寿幼稚園,せんじゆようちえん,旭区清水3丁目3-16,16,旭区,06-6951-1729,http://www.senju-k.jp/index.html,幼稚園,,,,,,,,,1,161361
34.684667,135.543276,中浜幼稚園,なかはまようちえん,城東区中浜2丁目11-41,17,城東区,06-6962-0995,http://www2.nakahama.ed.jp/~nakahama/index.html,幼稚園,,,,,,,,,1,171367
34.708155,135.541846,野江幼稚園,のえようちえん,城東区成育3丁目4-20,17,城東区,06-6933-0071,http://noeyouchien.ed.jp/about/index.html,幼稚園,,,,,,,,,1,171368
34.698887,135.545282,蒲生幼稚園,がもうようちえん,城東区蒲生4丁目13-9,17,城東区,06-6931-6695,http://www.gamo.ed.jp/index.html,幼稚園,,,,,,,,,1,171365
34.693894,135.539266,全愛幼稚園,ぜんあいようちえん,城東区鴫野西3丁目6-2,17,城東区,06-6961-1627,http://www.astok.ne.jp/daishiyo/zennai/index.html,幼稚園,,,,,,,,,1,171366
34.711178,135.557781,大阪信愛女学院幼稚園,おおさかしんあいじよがくいんようちえん,城東区古市2丁目7-30,17,城東区,06-6939-4391,http://kinder.osaka-shinai.ac.jp/index.html,幼稚園,,,,,,,,,1,171364
34.713753,135.564334,念法幼稚園,ねんぽうようちえん,鶴見区緑3丁目3-18,18,鶴見区,06-6911-3158,http://www.nenpougakuen.com/index.html,幼稚園,,,,,,,,,1,181373
34.691662,135.576804,三愛幼稚園,さんあいようちえん,鶴見区今津中4丁目3-13,18,鶴見区,06-6968-1981,http://sanaiyouchien.jp/index.html,幼稚園,,,,,,,,1,1,181370
34.703544,135.561756,鶴見幼稚園,つるみようちえん,鶴見区鶴見4丁目9-17,18,鶴見区,06-6931-3368,http://www.tsurumi-k.ed.jp/index.html,幼稚園,,,,,,,,1,1,181371
34.699978,135.562253,鶴見菊水幼稚園,つるみきくすいようちえん,鶴見区鶴見2丁目5-15,18,鶴見区,06-6912-0360,http://www.ans.co.jp/k/tsurumikikusui/index.html,幼稚園,,,,,,,,,1,181372
34.631056,135.502515,赤橋幼稚園,あかはしようちえん,阿倍野区相生通2丁目6-2,19,阿倍野区,06-6661-7418,http://www.akahashi.ac.jp/bosyuu/index.html,幼稚園,,,,,,,,,1,191375
34.629796,135.519158,長池昭和幼稚園,ながいけしようわようちえん,阿倍野区桃ヶ池町1丁目11-29,19,阿倍野区,06-6621-0773,http://www.nagaikesyowa.net/1/index.html,幼稚園,,,,,,,,,1,191383
34.645603,135.509056,金塚幼稚園,かなづかようちえん,阿倍野区旭町1丁目4-46,19,阿倍野区,06-6641-9945,http://www.kanazuka.ac.jp/index.html,幼稚園,,,,,,,,1,1,191379
34.635031,135.522046,文の里幼稚園,ふみのさとようちえん,阿倍野区文の里3丁目15-28,19,阿倍野区,06-6629-2323,http://www.fuminosato.jp/index.html,幼稚園,,,,,,,,,1,191384
34.628149,135.499757,阿部野学園幼稚園,あべのがくえんようちえん,阿倍野区北畠3丁目7-5,19,阿倍野区,06-6651-8649,http://abeno.abeno.ed.jp/index.html,幼稚園,,,,,,,,1,1,191378
34.617698,135.515808,鶴ヶ丘幼稚園,つるがおかようちえん,阿倍野区西田辺町2丁目2-10,19,阿倍野区,06-6691-1067,http://www.tsurugaoka.ed.jp/index.html,幼稚園,,,,,,,,1,1,191382
